Material,E_Pa,Densidade_kg_m3,Poisson_ratio,Limite_Escoamento_Pa,x_m,y_deflexao_mm
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.0,0.0
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.04,0.0016830737974399999
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.08,0.006667858263039999
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.12,0.014858585144639997
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.16,0.026160669040639996
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.2,0.040480707399999996
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.24,0.05772648052224
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.28,0.07780695155744
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.32,0.10063226650623999
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.36,0.12611375421983997
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.4,0.15416392640000004
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.44,0.18469647759904
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.48,0.21762628521983998
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.52,0.25286940951583997
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.56,0.29034309359103994
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.6,0.3299657634
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.64,0.37165702774784
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.68,0.41533767829024004
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.72,0.46092968953343993
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.76,0.50835621883424
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.8,0.5575416064000001
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.84,0.6084113752886399
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.88,0.6608922314086401
Aço_Carbono,200000000000.0,7850,0.3,250000000.0,0.92,0.71491206351904
